,Company,Year,Number of CSA Articles,Scaled Number of CSA Articles,Normalized Scaled Number of CSA Articles
0,3m co,1985.0,2.0,0.05405405405405406,0.22113022113022116
1,3m co,1986.0,3.0,0.08333333333333333,0.3409090909090909
2,3m co,1987.0,1.0,0.023809523809523808,0.09740259740259741
3,3m co,1988.0,3.0,0.034482758620689655,0.14106583072100315
4,3m co,1989.0,1.0,0.022222222222222223,0.09090909090909091
5,3m co,1990.0,7.0,0.12727272727272726,0.5206611570247933
6,3m co,1991.0,2.0,0.06451612903225806,0.26392961876832843
7,3m co,1992.0,11.0,0.24444444444444444,1.0
8,3m co,1993.0,4.0,0.07272727272727272,0.2975206611570248
9,3m co,1994.0,5.0,0.08064516129032258,0.32991202346041054
10,3m co,1995.0,5.0,0.09259259259259259,0.3787878787878788
11,3m co,1996.0,5.0,0.056818181818181816,0.23243801652892562
12,3m co,1998.0,4.0,0.032,0.13090909090909092
13,3m co,1999.0,6.0,0.061855670103092786,0.25304592314901597
14,3m co,2000.0,10.0,0.08196721311475409,0.3353204172876304
15,3m co,2001.0,3.0,0.023076923076923078,0.09440559440559441
16,3m co,2002.0,7.0,0.04,0.16363636363636364
17,3m co,2003.0,13.0,0.061611374407582936,0.2520465316673847
18,3m co,2004.0,7.0,0.035897435897435895,0.14685314685314685
19,3m co,2005.0,8.0,0.037914691943127965,0.15510555794915987
20,3m co,2006.0,14.0,0.04416403785488959,0.18067106395182106
21,3m co,2007.0,9.0,0.04186046511627907,0.17124735729386892
22,3m co,2008.0,13.0,0.06046511627906977,0.24735729386892177
23,3m co,2009.0,15.0,0.052083333333333336,0.21306818181818182
24,3m co,2010.0,19.0,0.054285714285714284,0.22207792207792207
25,3m co,2011.0,25.0,0.13736263736263737,0.561938061938062
26,3m co,2012.0,24.0,0.004889975550122249,0.020004445432318295
27,3m co,2013.0,15.0,0.002217950613633003,0.00907343432849865
28,3m co,2014.0,15.0,0.0021031968592260235,0.008603987151379187
29,3m co,2015.0,25.0,0.003496992586375717,0.014305878762446116
30,3m co,2016.0,16.0,0.0020161290322580645,0.008247800586510264
31,3m co,2017.0,38.0,0.005023132848645076,0.020549179835366218
32,3m co,2018.0,25.0,0.004086302713305002,0.016716692918065917
33,3m co,2019.0,29.0,0.006885090218423552,0.028166278166278168
